本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
61211,TD101303290000,一般農業區,農牧用地,30,屏東縣,東港鎮,屏東縣東港鎮30,大潭新庄段,329,關注減緩區,93.865
61212,TD101303290000,一般農業區,農牧用地,203,屏東縣,東港鎮,屏東縣東港鎮203,大潭新庄段,329,關注減緩區,360.166
61213,TD101303290000,一般農業區,農牧用地,80,屏東縣,東港鎮,屏東縣東港鎮80,大潭新庄段,329,關注減緩區,2202.689
61214,TD101303300000,一般農業區,農牧用地,203,屏東縣,東港鎮,屏東縣東港鎮203,大潭新庄段,330,關注減緩區,1917.534
61215,TD101303300000,一般農業區,農牧用地,30,屏東縣,東港鎮,屏東縣東港鎮30,大潭新庄段,330,關注減緩區,1.521
61216,TD101303300000,一般農業區,農牧用地,30,屏東縣,東港鎮,屏東縣東港鎮30,大潭新庄段,330,關注減緩區,7.395
61268,TD101303780000,一般農業區,農牧用地,30,屏東縣,東港鎮,屏東縣東港鎮30,大潭新庄段,378,關注減緩區,1409.761
61269,TD101303790000,一般農業區,農牧用地,30,屏東縣,東港鎮,屏東縣東港鎮30,大潭新庄段,379,關注減緩區,246.045
61270,TD101303800000,一般農業區,農牧用地,31,屏東縣,東港鎮,屏東縣東港鎮31,大潭新庄段,380,關注減緩區,1587.797
61271,TD101303800000,一般農業區,農牧用地,30,屏東縣,東港鎮,屏東縣東港鎮30,大潭新庄段,380,關注減緩區,37.561
61272,TD101303820000,一般農業區,農牧用地,31-1,屏東縣,東港鎮,屏東縣東港鎮31-1,大潭新庄段,382,關注減緩區,654.4
61273,TD101303820000,一般農業區,農牧用地,31,屏東縣,東港鎮,屏東縣東港鎮31,大潭新庄段,382,關注減緩區,1460.948
61352,TD101302590000,一般農業區,農牧用地,29,屏東縣,東港鎮,屏東縣東港鎮29,大潭新庄段,259,關注減緩區,1532.712
61355,TD101302600000,一般農業區,農牧用地,29,屏東縣,東港鎮,屏東縣東港鎮29,大潭新庄段,260,關注減緩區,1190.812
61357,TD101302610000,一般農業區,農牧用地,29,屏東縣,東港鎮,屏東縣東港鎮29,大潭新庄段,261,關注減緩區,958.357
61413,TD101301590000,一般農業區,農牧用地,87,屏東縣,東港鎮,屏東縣東港鎮87,大潭新庄段,159,關注減緩區,783.152
61414,TD101301590000,一般農業區,農牧用地,88,屏東縣,東港鎮,屏東縣東港鎮88,大潭新庄段,159,關注減緩區,19.943
61415,TD101301600000,一般農業區,農牧用地,87,屏東縣,東港鎮,屏東縣東港鎮87,大潭新庄段,160,關注減緩區,11.224
61416,TD101301600000,一般農業區,農牧用地,88,屏東縣,東港鎮,屏東縣東港鎮88,大潭新庄段,160,關注減緩區,2300.085
61417,TD101301620000,一般農業區,農牧用地,92,屏東縣,東港鎮,屏東縣東港鎮92,大潭新庄段,162,關注減緩區,1289.361
61428,TD101303270000,一般農業區,農牧用地,203,屏東縣,東港鎮,屏東縣東港鎮203,大潭新庄段,327,關注減緩區,9.864
61431,TD101303770000,一般農業區,農牧用地,30,屏東縣,東港鎮,屏東縣東港鎮30,大潭新庄段,377,關注減緩區,2451.86
61581,TD055408730000,一般農業區,農牧用地,424,屏東縣,林邊鄉,屏東縣林邊鄉424,塭岸段,873,關注減緩區,36.938
61623,TD102500460000,一般農業區,農牧用地,843,屏東縣,林邊鄉,屏東縣林邊鄉843,成功段,46,關注減緩區,1411.421
